Tipo,Cargo u oficio por entrevistados,NIVEL,PROGRAMA,MUNICIPIO,TOTAL_MATRICULADOS_2017,TOTAL_MATRICULADOS_2018,VARIACION_PORCENTUAL_2018_2017
CRÍTICO,ADMINISTRADOR DE BASES DE DATOS,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MEDELLÍN,6178,4750,-0.2311427646
CRÍTICO,ADMINISTRADOR DE BASES DE DATOS,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MANIZALES,1829,1291,-0.2941
CRÍTICO,ADMINISTRADOR DE BASES DE DATOS,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,MANIZALES,236,304,0.2881
CRÍTICO,ADMINISTRADOR DE BASES DE DATOS,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
CRÍTICO,ADMINISTRADOR DE BASES DE DATOS,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,MEDELLÍN,498,628,0.261
CRÍTICO,ADMINISTRADOR DE BASES DE DATOS,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
ALTA ROTACIÓN,ADMINISTRADOR DE MESA DE AYUDA,TÉCNICO,TÉCNICO EN SISTEMAS,BOGOTÁ,0,0,0
ALTA ROTACIÓN,ADMINISTRADOR DE MESA DE AYUDA,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BOGOTÁ,11772,10896,-0.0744
ALTA ROTACIÓN,ADMINISTRADOR DE MESA DE AYUDA,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,ADMINISTRADOR DE PLATAFORMAS,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MEDELLÍN,6178,4750,-0.2311
CRÍTICO,ADMINISTRADOR DE PLATAFORMAS,TECNÓLOGO,TECNOLOGÍA EN DESARROLLO DE SISTEMAS INFORMÁTICOS,BUCARAMANGA,1210,1209,-0.0008
CRÍTICO,ADMINISTRADOR DE PLATAFORMAS,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,BOGOTÁ,14217,15000,0.0551
CRÍTICO,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,MEDELLÍN,498,628,0.261
CRÍTICO,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MEDELLÍN,8307,9279,0.117
CRÍTICO,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BUCARAMANGA,2787,2616,-0.0614
CRÍTICO,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO,INGENIERÍA ELECTRÓNICA,BOGOTÁ,11772,10896,-0.0744
CRÍTICO,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BUCARAMANGA,3333,3525,0.0576
CRÍTICO,ADMINISTRADOR DE PLATAFORMAS,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,BOGOTÁ,25659,25226,-0.0169
CRÍTICO,ANALISTA DE CALIDAD,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MANIZALES,1829,1291,-0.2941
ALTA ROTACIÓN,ANALISTA DE CALIDAD,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,MANIZALES,1829,1291,-0.2941
CRÍTICO,ANALISTA DE CALIDAD,TECNÓLOGO,TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN,CALI,3407,3592,0.0543
ALTA ROTACIÓN,ANALISTA DE CALIDAD,TECNÓLOGO,TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN,CALI,3407,3592,0.0543
CRÍTICO,ANALISTA DE CALIDAD,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
ALTA ROTACIÓN,ANALISTA DE CALIDAD,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,CALI,4255,4464,0.0491
CRÍTICO,ANALISTA DE CALIDAD,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
ALTA ROTACIÓN,ANALISTA DE CALIDAD,UNIVERSITARIO,INGENIERÍA DE SISTEMAS,MANIZALES,2124,2145,0.0099
