ID_CARGO,Ocupación_CIUO,Ocupación_CNO,Cargo_identificado,Municipio,Nivel Educativo,programas_formar_ocupación,Competencias,Tipo_de_Competencia
1,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,2172. ADMINISTRADORES DE SERVICIOS DE TECNOLOGÍAS DE LA INFORMACIÓN,ADMINISTRADOR DE BASES DE DATOS,MEDELLÍN,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,PENSAMIENTO CRÍTICO,DURAS
1,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,2172. ADMINISTRADORES DE SERVICIOS DE TECNOLOGÍAS DE LA INFORMACIÓN,ADMINISTRADOR DE BASES DE DATOS,MEDELLÍN,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,PERTINENCIA,BLANDAS
1,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,2172. ADMINISTRADORES DE SERVICIOS DE TECNOLOGÍAS DE LA INFORMACIÓN,ADMINISTRADOR DE BASES DE DATOS,MEDELLÍN,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,RESPONSABILIDAD,BLANDAS
1,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,2172. ADMINISTRADORES DE SERVICIOS DE TECNOLOGÍAS DE LA INFORMACIÓN,ADMINISTRADOR DE BASES DE DATOS,MEDELLÍN,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,AUTONOMÍA,BLANDAS
1,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,2172. ADMINISTRADORES DE SERVICIOS DE TECNOLOGÍAS DE LA INFORMACIÓN,ADMINISTRADOR DE BASES DE DATOS,MEDELLÍN,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,GERENCIA DE PROYECTOS,DURAS
1,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,2172. ADMINISTRADORES DE SERVICIOS DE TECNOLOGÍAS DE LA INFORMACIÓN,ADMINISTRADOR DE BASES DE DATOS,MEDELLÍN,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,PENSAMIENTO CIENTÍFICO,DURAS
1,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,2172. ADMINISTRADORES DE SERVICIOS DE TECNOLOGÍAS DE LA INFORMACIÓN,ADMINISTRADOR DE BASES DE DATOS,MEDELLÍN,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,PENSAMIENTO CIENTÍFICO,DURAS
1,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,2172. ADMINISTRADORES DE SERVICIOS DE TECNOLOGÍAS DE LA INFORMACIÓN,ADMINISTRADOR DE BASES DE DATOS,MEDELLÍN,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,INVESTIGACIÓN,DURAS
1,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,2172. ADMINISTRADORES DE SERVICIOS DE TECNOLOGÍAS DE LA INFORMACIÓN,ADMINISTRADOR DE BASES DE DATOS,MEDELLÍN,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,TECNOLOGÍA DE INFORMACIÓN,DURAS
1,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,2172. ADMINISTRADORES DE SERVICIOS DE TECNOLOGÍAS DE LA INFORMACIÓN,ADMINISTRADOR DE BASES DE DATOS,MEDELLÍN,TECNÓLOGO,TECNOLOGÍA EN ANÁLISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,BASES DE DATOS,DURAS
